,doi,type,text_redacted
47,10.1007/s10853-009-3850-8,solid_state_ceramic_synthesis,The single-phase CCTO polycrystalline powder was p ... s the electrodes and fired at 600 degC for 15 min.
48,10.1007/s11661-013-2054-7,solid_state_ceramic_synthesis,Ferrite composites with ferrimagnetic phases have  ...  ball milled for 10 hours to obtain a fine powder.
49,10.1007/s10854-016-5314-7,solid_state_ceramic_synthesis,"In this work, Na1/3Ca1/3Y1/3Cu3Ti4O12 (NCYCTO) cer ... ce, and then cooled to room temperature naturally."
50,10.1016/j.ssi.2011.02.016,solid_state_ceramic_synthesis,Compositions with 1M4+10ScSZ (M4+ = Ce and Hf) wer ... ned to be 96% of the theoretical density or above.
51,10.1007/s10854-014-1915-1,solid_state_ceramic_synthesis,"(Ba1-x,Srx)(Zr0.1,Ti0.9)O3 ceramic samples were pr ... f the ceramics at 600 degC to form the electrodes."
52,10.1016/j.matdes.2016.12.006,solid_state_ceramic_synthesis,The conventional solid-state method was applied in ... ature ranging from 1050 degC to 1180 degC for 2 h.
53,10.1007/s10854-015-3725-5,solid_state_ceramic_synthesis,Dy2/3Cu3Ti4O12 ceramics were prepared by a standar ... ensity) and were applied in further investigation.
54,10.1007/s10854-013-1682-4,solid_state_ceramic_synthesis,"Reagent grade Na2CO3, K2CO3, Li2CO3, Nb2O5, Bi2O3, ... sealed alumina crucible to prevent volatilization."
55,10.1016/j.mseb.2012.09.004,solid_state_ceramic_synthesis,Ceramic samples were prepared by conventional soli ...  were muffled with powder of the same composition.
56,10.1016/j.ijhydene.2014.05.150,solid_state_ceramic_synthesis,SrCo0.7Fe0.2Ta0.1O3-δ (SCFT) powders were synthesi ...  for 10 h in air to obtain the dense LSGM pellets.
57,10.1016/j.jallcom.2007.11.055,solid_state_ceramic_synthesis,Analytical reagent grade powders (purity 99.99%) o ... cooled to the room temperature along with furnace.
58,10.1007/s10854-017-6802-0,solid_state_ceramic_synthesis,(Ba1-αCaα) Sm2Ti4O12 ceramic samples with α = 0.01 ...  of 100 degC/h was executed till room temperature.
59,10.1111/j.1551-2916.2009.03453.x,solid_state_ceramic_synthesis,Ba4Sm2Ti4Ta6O30 and Ba5SmTi3Ta7O30 ceramics were s ... range from 1673 to 1723 K to yield dense ceramics.
60,10.1016/j.jpcs.2011.06.008,solid_state_ceramic_synthesis,"First, the starting materials of Y2O3, V2O5, and E ... d at 1000 degC for 3 hr in a programmable furnace."
61,10.1016/j.jallcom.2013.06.009,solid_state_ceramic_synthesis,"BiFeO3 (BFO) samples were prepared through the sol ...  at 810 degC for 1 h in air, as described in [13]."
62,10.1016/j.matlet.2016.04.212,solid_state_ceramic_synthesis,The BYS samples were prepared by solid-state react ... for 4 h at heating rate of 4 degC /min in the air.
63,10.1007/s10854-011-0335-8,solid_state_ceramic_synthesis,"The (1-x)(BiScO3-0.64PbTiO3)-xLiNbO3 (BSPT64-xLN,  ... e loss of PbO and Bi2O3 caused by its sublimation."
64,10.1007/s10853-013-7419-1,solid_state_ceramic_synthesis,Pb0.97La0.02(ZrxSn0.9-xTi0.1)O3 (0.61 <= x <= 0.65 ...  both sides of the samples at 550 degC for 10 min.
65,10.1016/j.elecom.2014.09.006,solid_state_ceramic_synthesis,A garnet cylinder with the nominal chemical formul ...  sintered at 1140 degC for 16 h in air atmosphere.
66,10.1016/j.jeurceramsoc.2006.11.037,solid_state_ceramic_synthesis,The powders were prepared by conventional mixed ox ... pecimens was determined by the Archimedes' method.
67,10.1016/j.matdes.2016.08.046,solid_state_ceramic_synthesis,"Powders and ceramic samples with composition [Pb1  ... tered at this temperature, with the same protocol."
68,10.1016/j.mseb.2010.04.039,solid_state_ceramic_synthesis,The Ba(Ti1-xSnx)O3 nanocrystalline powders were sy ...  by sintering at temperature of 1350 degC for 4 h.
69,10.1016/j.jeurceramsoc.2017.02.053,solid_state_ceramic_synthesis,"ZrO2 (Shanghai Aladdin Co. Ltd., purity of 99.99%) ... ature increase rates were about 5 degC per minute."
70,10.1007/s10853-016-9922-7,solid_state_ceramic_synthesis,(100-x) at.% Ba0.6Sr0.4TiO3-x at.% Y2O3 (BST/Y2O3) ...  ceramics reached 95 % of the theoretical density.
71,10.1007/s10008-005-0647-9,solid_state_ceramic_synthesis,"The starting powders of Ba5-xNa2xNb10O30, where x= ... old isostatic pressing (CIP) at 100 MPa for 3 min."
72,10.1016/j.mseb.2014.03.003,solid_state_ceramic_synthesis,Aurivillius oxides (K0.16Na0.84)0.5Bi4.5Ti4O15 + x ... d by alumina crucible followed by furnace cooling.
73,10.1016/j.jssc.2004.08.003,solid_state_ceramic_synthesis,Ba5LaTi2Nb3O18 and Ba4La2Ti3Nb2O18 were synthesize ... ynthesis could be represented by Eqs. (1) and (2).
74,10.1016/j.jpowsour.2010.09.056,solid_state_ceramic_synthesis,(Sm1-xDyx)2Zr2O7 (0 <= x <= 1.0) ceramics were pre ... ular weight in a unit cell and lattice parameters.
75,10.1007/s10854-015-2986-3,solid_state_ceramic_synthesis,A MgCuZn ferrite with composition of (Mg0.2Cu0.25Z ... a circular ring shape for further sintering study.
76,10.1016/j.mseb.2015.06.011,solid_state_ceramic_synthesis,"(Ba0.4Ca0.6)1-xErxTiO3 (abbreviated as BCT-xEr, x  ... 0-1550 degC for 4 h in an alumina crucible in air."
77,10.1016/j.jpowsour.2011.05.009,solid_state_ceramic_synthesis,The Ce-doped BCN18 samples were prepared by a conv ... or 5 h in air with a heating rate of 2 degC min-1.
78,10.1016/j.jeurceramsoc.2006.04.012,solid_state_ceramic_synthesis,"All Zn1-x-yAlxTiyO (0 <= x <= 0.05, 0 <= y <= 0.02 ... 1400 degC for 20 h in air and then furnace cooled."
79,10.1016/j.physb.2010.09.027,solid_state_ceramic_synthesis,Sr1-xPrxTiO3 ceramics (0.00<=x<=0.07) were prepare ... ellets were sintered at 1325 degC in air for 10 h.
80,10.1007/s10854-011-0322-0,solid_state_ceramic_synthesis,"(1 - x)K0.49Na0.51NbO3 + xLiSbO3 (abbreviated as K ... ers and then sintered at 1,060-1,120 degC for 2 h."
81,10.1007/s10854-014-1824-3,solid_state_ceramic_synthesis,This 0.95(K0.5Na0.5)NbO3-0.05(Bi0.5K0.5)Zr1-xTixO3 ... e conducted on aged specimens (24 h after poling).
82,10.1007/s10854-014-1897-z,solid_state_ceramic_synthesis,Na2BiMg2V3O12 ceramics were prepared by the conven ... in and then cooled in furnace to room temperature.
83,10.1016/j.physb.2009.04.045,solid_state_ceramic_synthesis,"Samples with nominal composition of (ZnO)1-x(MnO2) ...  2 h, and then furnace-cooled to room temperature."
84,10.1007/s10854-014-2224-4,solid_state_ceramic_synthesis,"CaSiO3 powders were prepared by a routine solid-st ... e temperatures of 1,250-1,400 degC for 2 h in air."
85,10.1016/j.matchemphys.2011.11.039,solid_state_ceramic_synthesis,"The (NaxBi0.5)0.94Ba0.06TiO3 (x = 0.54, 0.50, 0.46 ... ed alumina crucibles during the sintering process."
86,10.1111/j.1551-2916.2008.02623.x,solid_state_ceramic_synthesis,"All samples in this study were prepared by solid-s ... 150degC for 3-9 h in air, O2 and N2, respectively."
87,10.1007/s10854-012-0868-5,solid_state_ceramic_synthesis,"High-purity Li2CO3 (+98.5 %), H3BO3 (+99 %), ZnO ( ... tures in the range of 875-925 degC for 3 h in air."
88,10.1007/s10854-010-0080-4,solid_state_ceramic_synthesis,"BaTi0.9Sn0.1O3 ceramics with 0, 0.2, 1 and 2 at.%  ... n0.1O3 were sintered at 1,350 degC for 2 h in air."
89,10.1016/j.jeurceramsoc.2016.05.002,solid_state_ceramic_synthesis,Ca0.6Sr0.4TiO3 ceramics with HfO2 additives (0 wt. ... sure of 200 MPa and sintered at 1400 degC for 2 h.
90,10.1007/s10854-010-0261-1,solid_state_ceramic_synthesis,(1-x)K0.49Na0.51NbO3 + xLiNbO3 (abbreviated as KNN ... nders and then sintered at 1060-1120 degC for 2 h.
91,10.1016/j.tsf.2008.04.031,solid_state_ceramic_synthesis,Pure and doped BST ceramics with various Sr conten ...  method was used for ceramic density measurements.
92,10.1016/j.matlet.2005.10.076,solid_state_ceramic_synthesis,"The preparation of PNNT/NiCuZn composites was desc ... 0 degC and 1050 degC for 2 h in air, respectively."
93,10.1007/s10854-016-5256-0,solid_state_ceramic_synthesis,The samples were prepared through conventional sol ... or 6 h in air with the heating rate of 5 degC/min.
94,10.1007/s10854-011-0404-z,solid_state_ceramic_synthesis,"(1 - x) Ca4La2Ti5O17 (CLTO)-xLaAlO3 ceramic sample ... mized sintering temperature of 1,560 degC for 4 h."
95,10.1016/j.matlet.2015.01.070,solid_state_ceramic_synthesis,The samples were separately by conventional solid- ...  at temperatures of 1330-1450 degC for 4 h in air.
96,10.1016/j.matlet.2012.08.063,solid_state_ceramic_synthesis,"High-purity Li2CO3 (+98.5%), TiO2 (+99%), H3BO3 (+ ... ness and then sintered at 850 degC in air for 3 h."
97,10.1016/j.matchemphys.2005.08.022,solid_state_ceramic_synthesis,"Ferrites with chemical formula of NiAlxFe2-xO4, wh ... ts were further cooled at the rate of 80 degC h-1."
98,10.1016/j.jeurceramsoc.2006.04.049,solid_state_ceramic_synthesis,The La9Sr1Si6O26.5 electrolyte powder was prepared ... e referred to as respectively CERM1/1 and CERM1/3.
99,10.1007/s10854-008-9600-x,solid_state_ceramic_synthesis,Specimens of the LNT ceramics were prepared by a c ... LV were sintered at 1050-1150 degC for 2 h in air.
100,10.1016/j.mseb.2009.01.002,solid_state_ceramic_synthesis,The pure CCTO powder was synthesized using the tra ... s the electrodes and fired at 600 degC for 15 min.
101,10.1016/j.jeurceramsoc.2015.05.002,solid_state_ceramic_synthesis,(Bi0.5Na0.5)TiO3 (BNT) and (Bi0.5Na0.5)0.925Ba0.07 ...  at 600 degC for 30 min to remove residual stress.
102,10.1007/s10854-014-1726-4,solid_state_ceramic_synthesis,"High quality LixSc0.02Ni0.98-xO ceramics with x =  ... ly, and then cooled to room temperature naturally."
103,10.1016/j.matlet.2005.05.053,solid_state_ceramic_synthesis,The Ca[(Li0.33Nb0.67)0.9Ti0.1]O3-δ powder composit ... or 3 h with 2.5 degC/min heating and cooling rate.
104,10.1111/j.1551-2916.2009.03429.x,solid_state_ceramic_synthesis,The starting materials were high-purity (better th ... s ranging from 1050deg to 1300degC for 4 h in air.
105,10.1016/j.matchemphys.2010.01.052,solid_state_ceramic_synthesis,Polycrystalline ceramic samples were prepared by s ...  degC in air for 3 h to obtain the dense ceramics.
106,10.1016/j.actamat.2009.06.011,solid_state_ceramic_synthesis,"Ba1-xSrxTiO3 (x = 0.4, 0.5, 0.6 and 0.7) ceramics  ... der and then sintered at 1400 degC for 4 h in air."
107,10.1111/j.1551-2916.2005.00581.x,solid_state_ceramic_synthesis,"Polycrystalline samples of V-doped InTaO4 (InTa1-x ... d at 1200degC for 6 h, and then thoroughly ground."
108,10.1016/j.jmmm.2005.05.033,solid_state_ceramic_synthesis,NiCuZn ferrites with compositions of Ni0.24Zn0.56C ... pecimens were sintered in air at 930 degC for 2 h.
109,10.1016/j.jpowsour.2015.10.030,solid_state_ceramic_synthesis,BaIn0.3Ti0.7O2.85 (BIT07) was synthesized by solid ...  acetone and was passed through 100 μm mesh sieve.
110,10.1016/j.matlet.2012.12.091,solid_state_ceramic_synthesis,The LMZT compositions were synthesized by the conv ... 60 degC for 3 h at a heating rate of 2.5 degC/min.
111,10.1007/s10854-008-9798-7,solid_state_ceramic_synthesis,Ceramic samples of composition Ba3Ti4-x(Fe1/2Nb1/2 ...  for 2 h with 5 degC/min heating and cooling rate.
112,10.1007/s10854-014-2182-x,solid_state_ceramic_synthesis,"Sr1-1.5xSmxTiO3 ceramics were prepared by a solid- ... binders and sintered at 1,400 degC for 3 h in air."
113,10.1016/j.matchemphys.2005.08.006,solid_state_ceramic_synthesis,Samples of CuO-doped Ba(Zn1/3Ta2/3)O3-BaZrO3 were  ... d the cooling rate were both set at 10 degC min-1.
114,10.1016/j.solidstatesciences.2003.10.001,solid_state_ceramic_synthesis,Mixtures with the Y/Ce atomic ratio range of 0.05- ... ons used were aged at 1000 degC in air for 8 days.
115,10.1111/j.1551-2916.2009.03303.x,solid_state_ceramic_synthesis,"The traditional solid-state reaction was used to p ... ensate the loss of Li, Na, and K during sintering."
116,10.1016/j.jallcom.2015.01.026,solid_state_ceramic_synthesis,"Ba(CoTi)1.2Fe9.6O19 M-type hexaferrites with vario ... , and finally sintered at 925 degC for 3 h in air."
117,10.1007/s10854-016-4601-7,solid_state_ceramic_synthesis,Samples were prepared by conventional solid-state  ... gC for 4 h in air at a heating rate of 5 degC/min.
118,10.1007/s10854-014-1755-z,solid_state_ceramic_synthesis,Li1+2xMg4-xV3O12 ceramics were prepared by the con ... ples were sintered at 680-900 degC for 4 h in air.
119,10.1007/s10854-014-1704-x,solid_state_ceramic_synthesis,"Sr[(Fe0.5Nb0.5)1-xTix]O3 (x = 0, 0.2, 0.4, 0.6 and ... e obtained by sintering at 1,673 K in air for 3 h."
120,10.1016/j.jmmm.2013.11.005,solid_state_ceramic_synthesis,Ni1-xZnxFe2O4 (0<=x<=1.0) ferrite powder was prepa ... on technology at the same temperature for 120 min.
121,10.1111/j.1551-2916.2006.01227.x,solid_state_ceramic_synthesis,The ceramic specimens were prepared by a conventio ... ating rate of 3degC/min and cooled in the furnace.
122,10.1111/j.1551-2916.2012.05327.x,solid_state_ceramic_synthesis,Calcium bismuth niobate powders were prepared by c ... h different grain sizes are summarized in Table 1.
123,10.1016/j.matlet.2012.04.120,solid_state_ceramic_synthesis,Specimens of the Li2Cu0.1Zn0.9Ti3O8 ceramics were  ... ating rate of the sintering process is 5 degC/min.
124,10.1007/s10854-015-4112-y,solid_state_ceramic_synthesis,The ceramics were prepared through a conventional  ... or 4 h in air with the heating rate of 5 degC/min.
125,10.1002/pssa.201330345,solid_state_ceramic_synthesis,The GZO target was synthesized by using a conventi ... egC for 5 h and then sintered at 950 degC for 5 h.
126,10.1016/j.matlet.2006.02.070,solid_state_ceramic_synthesis,"The ceramics were prepared using the conventional  ... g rate of 3 degC/min, and cooled with the furnace."
127,10.1016/j.jeurceramsoc.2007.02.194,solid_state_ceramic_synthesis,The material compositions used in this study are x ... and subsequently pressed into disks under 300 MPa.
128,10.1007/s10854-014-2368-2,solid_state_ceramic_synthesis,"The (1 - x)Ba0.75Sr0.25TiO3+xLa0.5Na0.5TiO3 cerami ... emperatures in the range from 1,400 to 1,450 degC."
129,10.1016/j.jeurceramsoc.2016.11.023,solid_state_ceramic_synthesis,Lead-free (1-x)(Bi0.5Na0.5)TiO3-xSrTiO3 (BNT-STx;  ... s were poled at 2.4 kV for 30 min in silicone oil.
130,10.1007/s10854-014-2612-9,solid_state_ceramic_synthesis,Samples of the LiMgVO4 ceramic was synthesized by  ...  for 4 h in air with a heating rate of 5 degC/min.
131,10.1111/j.1551-2916.2007.01937.x,solid_state_ceramic_synthesis,"Bulk BiFeO3 powder was prepared by a solid-state r ...  on an alumina disk, and fired at 825degC for 8 h."
132,10.1007/s10854-015-2697-9,solid_state_ceramic_synthesis,A NiCuZn ferrite with composition of (Ni0.15Cu0.2Z ...  in a circular ring shape for the sintering study.
133,10.1016/j.matlet.2006.11.095,solid_state_ceramic_synthesis,Samples of Ba5Nb4-xVxO15 with x = 0-1 were synthes ... emperatures from 1050 to 1200 degC for 4 h in air.
134,10.1007/s10854-016-4697-9,solid_state_ceramic_synthesis,Samples of the Ca5Mn4(VO4)6 ceramics were synthesi ...  for 5 h in air with a heating rate of 5 degC/min.
135,10.1016/j.jeurceramsoc.2005.03.091,solid_state_ceramic_synthesis,"The polycrystalline ceramic materials Pb1 - xSrxTi ... xygen atmosphere, to prevent possible loss of PbO."
136,10.1016/j.matlet.2014.08.133,solid_state_ceramic_synthesis,"(1-x)(0.65BiFeO3-0.35BaTiO3)-xNb2O5 (x=0, 1, 3, 5  ... C, 950 degC, 975 degC, and 975 degC, respectively."
137,10.1016/j.materresbull.2010.05.002,solid_state_ceramic_synthesis,"The (Ba0.6Sr0.4)1-xLaxCo0.4Fe0.6O3-δ (x = 0, 0.1)  ... any agglomerations during the calcination process."
138,10.1016/j.jeurceramsoc.2006.04.174,solid_state_ceramic_synthesis,The ceramics were prepared using the conventional  ... ets were sintered at temperatures at 840-920 degC.
139,10.1007/s10854-009-9901-8,solid_state_ceramic_synthesis,Specimens of the (Li1/2Nd1/2)WO4 ceramics were pre ... lets were sintered at 725-850 degC for 4 h in air.
140,10.1007/s10854-017-6403-y,solid_state_ceramic_synthesis,Sr doped Barium (Ba0.9Sr1-xTi0.6Zr0.3 Mn0.1O3) (wi ... d powder and it was sintered to 1600 degC for 5 h.
141,10.1016/j.mseb.2014.09.001,solid_state_ceramic_synthesis,"In order to accelerate the solid-state reaction, t ... These samples were sintered at 1650 degC for 12 h."
142,10.1007/s10854-016-6092-y,solid_state_ceramic_synthesis,MAT ceramics were prepared by the conventional sol ... in and then cooled to room temperature in furnace.
143,10.1111/j.1551-2916.2008.02871.x,solid_state_ceramic_synthesis,Ceramics with compositions of (Na0.52K0.48-x)(Nb1- ...  then sintered in air at 1060deg-1120degC for 3 h.
144,10.1111/j.1551-2916.2009.03298.x,solid_state_ceramic_synthesis,"Ceramic specimens were prepared by the conventiona ... degC for 40 h, and 970degC for 10 h, respectively."
145,10.1007/s10854-011-0372-3,solid_state_ceramic_synthesis,"SrLa4-xSmxTi5O17 compositions (x = 0, 1, 2, 3, or  ... t 20 kV, was used for microstructural examination."
146,10.1016/j.jallcom.2011.06.025,solid_state_ceramic_synthesis,Ba0.65Sr0.35TiO3 ceramics were fabricated by the c ... pellets were sintered at 1350 degC for 4 h in air.
147,10.1007/s10854-016-4671-6,solid_state_ceramic_synthesis,The specimens in the (0.67-x)BiFeO3-0.33PbTiO3-xBa ... ets to decrease the evaporation loss of Pb and Bi.
148,10.1016/j.actamat.2016.11.001,solid_state_ceramic_synthesis,The SrBi2(Nb0.2Ta0.8)2O9 and SrBi1.85Pr0.15(Nb0.2T ... % of the theoretical density for all the ceramics.
149,10.1016/j.jeurceramsoc.2014.03.001,solid_state_ceramic_synthesis,The substituted barium zirconates BaCe0.5Zr0.4Y0.1 ... ers were milled again for 24 h as described above.
150,10.1016/j.jeurceramsoc.2006.04.167,solid_state_ceramic_synthesis,"Samples of compositions SrBi2(WxTa1-x)2O9 (SBWT),  ... pellets were sintered at 1150 degC for 2 h in air."
151,10.1016/j.matlet.2008.10.035,solid_state_ceramic_synthesis,The LCMO/Al2O3 (x = 0; 0.01; 0.02; 0.03; 0.04 and  ... re of 10 MPA/cm2 and sintered at 900 degC for 3 h.
152,10.1007/s10854-009-9922-3,solid_state_ceramic_synthesis,A conventional mixed oxide route was utilized to p ... silicon oil at 80 degC under 3-4 kV/mm for 15 min.
153,10.1016/j.matlet.2011.08.054,solid_state_ceramic_synthesis,"Powder samples of Ca3 - xSi2O7: xEu2+ (0 <= x <= 0 ... es, the disk was ground to powder for measurement."
154,10.1111/j.1744-7402.2009.02400.x,solid_state_ceramic_synthesis,Samples of (Mg0.95Ni0.05)TiO3 and (La0.5Na0.5)TiO3 ...  rate and the cooling rate were set at 10degC/min.
155,10.1016/j.ceramint.2013.05.056,solid_state_ceramic_synthesis,"SrBi2-xHoxTa2O9 compositions with x=0.0, 0.01, 0.0 ... pellets were sintered at 1200 degC for 2 h in air."
